t_s,iso,phase,round,mV,mA,mW
329.95,2026-08-31T16:25:13,read,4,4997,67,334
330.52,2026-08-31T16:25:13,read,4,4998,67,334
331.10,2026-08-31T16:25:14,read,4,4998,66,329
331.68,2026-08-31T16:25:14,read,4,4999,67,334
332.27,2026-08-31T16:25:15,read,4,4997,67,334
332.83,2026-08-31T16:25:15,read,4,4996,66,329
333.40,2026-08-31T16:25:16,read,4,4996,66,329
333.98,2026-08-31T16:25:17,read,4,4997,67,334
334.56,2026-08-31T16:25:17,read,4,4998,66,329
335.14,2026-08-31T16:25:18,read,4,4998,66,329
335.72,2026-08-31T16:25:18,read,4,4998,67,334
336.29,2026-08-31T16:25:19,read,4,5000,67,335
336.86,2026-08-31T16:25:20,read,4,5000,66,330
337.44,2026-08-31T16:25:20,read,4,5000,67,335
338.01,2026-08-31T16:25:21,read,4,4997,66,329
338.59,2026-08-31T16:25:21,read,4,4999,66,329
339.16,2026-08-31T16:25:22,read,4,5001,67,335
339.73,2026-08-31T16:25:22,read,4,5001,67,335
340.31,2026-08-31T16:25:23,read,4,4998,66,329
340.88,2026-08-31T16:25:24,read,4,4998,66,329
341.47,2026-08-31T16:25:24,read,4,4996,67,334
342.04,2026-08-31T16:25:25,read,4,4997,66,329
342.63,2026-08-31T16:25:25,read,4,4997,66,329
343.20,2026-08-31T16:25:26,read,4,4998,67,334
343.78,2026-08-31T16:25:26,read,4,4998,66,329
344.36,2026-08-31T16:25:27,read,4,4999,66,329
344.94,2026-08-31T16:25:28,read,4,4999,67,334
345.52,2026-08-31T16:25:28,read,4,4999,66,329
346.10,2026-08-31T16:25:29,read,4,4999,66,329
346.67,2026-08-31T16:25:29,read,4,4999,67,334
347.25,2026-08-31T16:25:30,read,4,4999,66,329
347.83,2026-08-31T16:25:30,read,4,4998,66,329
348.42,2026-08-31T16:25:31,read,4,4998,67,334
349.01,2026-08-31T16:25:32,read,4,4998,66,329
349.58,2026-08-31T16:25:32,read,4,4998,67,334
350.17,2026-08-31T16:25:33,read,4,5000,67,335
350.73,2026-08-31T16:25:33,read,4,4997,66,329
351.31,2026-08-31T16:25:34,read,4,4999,67,334
351.90,2026-08-31T16:25:35,read,4,5000,67,335
352.49,2026-08-31T16:25:35,read,4,4999,67,334
353.05,2026-08-31T16:25:36,read,4,4999,67,334
353.63,2026-08-31T16:25:36,read,4,4999,67,334
354.20,2026-08-31T16:25:37,read,4,4999,66,329
354.77,2026-08-31T16:25:37,read,4,4998,67,334
355.37,2026-08-31T16:25:38,read,4,4998,67,334
355.94,2026-08-31T16:25:39,read,4,4997,66,329
356.52,2026-08-31T16:25:39,read,4,4997,67,334
357.09,2026-08-31T16:25:40,read,4,5000,67,335
357.68,2026-08-31T16:25:40,read,4,4999,66,329
358.27,2026-08-31T16:25:41,read,4,4998,67,334
358.85,2026-08-31T16:25:42,read,4,4997,66,329
359.46,2026-08-31T16:25:42,read,4,4999,67,334
360.03,2026-08-31T16:25:43,read,4,5000,66,330
360.61,2026-08-31T16:25:43,read,4,5000,67,335
361.18,2026-08-31T16:25:44,read,4,4999,67,334
361.77,2026-08-31T16:25:44,read,4,4999,67,334
362.35,2026-08-31T16:25:45,read,4,4998,67,334
362.92,2026-08-31T16:25:46,read,4,4998,67,334
363.49,2026-08-31T16:25:46,read,4,4998,66,329
364.09,2026-08-31T16:25:47,read,4,5000,67,335
364.66,2026-08-31T16:25:47,read,4,5000,67,335
365.23,2026-08-31T16:25:48,read,4,4999,66,329
365.80,2026-08-31T16:25:48,read,4,4999,66,329
366.37,2026-08-31T16:25:49,read,4,4998,67,334
366.95,2026-08-31T16:25:50,read,4,4999,67,334
367.53,2026-08-31T16:25:50,read,4,4999,66,329
368.10,2026-08-31T16:25:51,read,4,4998,67,334
368.68,2026-08-31T16:25:51,read,4,4998,67,334
369.26,2026-08-31T16:25:52,read,4,4997,66,329
369.83,2026-08-31T16:25:52,read,4,4999,67,334
370.41,2026-08-31T16:25:53,read,4,4997,67,334
370.99,2026-08-31T16:25:54,read,4,4996,66,329
371.57,2026-08-31T16:25:54,read,4,4998,67,334
372.15,2026-08-31T16:25:55,read,4,4999,67,334
372.72,2026-08-31T16:25:55,read,4,4997,66,329
373.30,2026-08-31T16:25:56,read,4,4998,67,334
373.88,2026-08-31T16:25:57,read,4,4999,67,334
374.46,2026-08-31T16:25:57,read,4,4998,66,329
375.04,2026-08-31T16:25:58,read,4,4997,67,334
375.62,2026-08-31T16:25:58,read,4,4996,66,329
376.20,2026-08-31T16:25:59,read,4,4999,66,329
376.77,2026-08-31T16:25:59,read,4,4998,67,334
377.35,2026-08-31T16:26:00,read,4,4997,67,334
377.93,2026-08-31T16:26:01,read,4,4997,66,329
378.49,2026-08-31T16:26:01,read,4,4999,67,334
379.07,2026-08-31T16:26:02,read,4,5000,67,335
379.65,2026-08-31T16:26:02,read,4,4999,66,329
380.22,2026-08-31T16:26:03,read,4,4997,66,329
380.81,2026-08-31T16:26:03,read,4,4998,67,334
381.38,2026-08-31T16:26:04,read,4,4997,66,329
381.95,2026-08-31T16:26:05,read,4,4999,66,329
382.52,2026-08-31T16:26:05,read,4,4997,66,329
383.10,2026-08-31T16:26:06,read,4,4999,67,334
383.68,2026-08-31T16:26:06,read,4,4998,66,329
384.25,2026-08-31T16:26:07,read,4,4998,66,329
384.82,2026-08-31T16:26:07,read,4,4999,67,334
385.39,2026-08-31T16:26:08,read,4,4996,66,329
385.97,2026-08-31T16:26:09,read,4,4999,66,329
386.57,2026-08-31T16:26:09,read,4,4999,67,334
387.14,2026-08-31T16:26:10,read,4,4998,66,329
387.71,2026-08-31T16:26:10,read,4,4997,66,329
388.29,2026-08-31T16:26:11,read,4,4997,67,334
388.87,2026-08-31T16:26:12,read,4,4997,66,329
389.47,2026-08-31T16:26:12,read,4,4998,67,334
390.04,2026-08-31T16:26:13,read,4,4997,66,329
390.62,2026-08-31T16:26:13,read,4,4997,66,329
391.19,2026-08-31T16:26:14,read,4,4997,67,334
391.77,2026-08-31T16:26:14,read,4,4996,67,334
392.35,2026-08-31T16:26:15,read,4,4997,66,329
392.93,2026-08-31T16:26:16,read,4,4999,67,334
393.50,2026-08-31T16:26:16,read,4,4999,67,334
394.07,2026-08-31T16:26:17,read,4,5000,66,330
394.65,2026-08-31T16:26:17,read,4,4998,67,334
395.22,2026-08-31T16:26:18,read,4,5000,67,335
395.81,2026-08-31T16:26:18,read,4,5000,67,335
396.38,2026-08-31T16:26:19,read,4,5000,66,330
396.95,2026-08-31T16:26:20,read,4,4998,67,334
397.52,2026-08-31T16:26:20,read,4,5000,67,335
398.09,2026-08-31T16:26:21,read,4,4999,66,329
398.68,2026-08-31T16:26:21,read,4,4999,67,334
399.27,2026-08-31T16:26:22,read,4,4998,67,334
399.85,2026-08-31T16:26:23,read,4,4997,66,329
400.42,2026-08-31T16:26:23,read,4,4997,67,334
400.99,2026-08-31T16:26:24,read,4,4997,66,329
401.56,2026-08-31T16:26:24,read,4,4998,66,329
402.14,2026-08-31T16:26:25,read,4,5000,67,335
402.73,2026-08-31T16:26:25,read,4,5000,67,335
403.30,2026-08-31T16:26:26,read,4,4999,66,329
403.88,2026-08-31T16:26:27,read,4,4997,66,329
404.46,2026-08-31T16:26:27,read,4,4999,67,334
405.03,2026-08-31T16:26:28,read,4,4998,66,329
405.61,2026-08-31T16:26:28,read,4,4998,67,334
406.19,2026-08-31T16:26:29,read,4,4998,67,334
406.77,2026-08-31T16:26:29,read,4,4998,66,329
407.34,2026-08-31T16:26:30,read,4,4998,66,329
407.92,2026-08-31T16:26:31,read,4,4996,66,329
408.50,2026-08-31T16:26:31,read,4,4998,66,329
409.06,2026-08-31T16:26:32,read,4,4999,66,329
409.64,2026-08-31T16:26:32,read,4,4997,67,334
410.22,2026-08-31T16:26:33,read,4,4997,66,329
410.80,2026-08-31T16:26:33,read,4,4996,66,329
411.37,2026-08-31T16:26:34,read,4,4995,66,329
411.95,2026-08-31T16:26:35,read,4,4997,66,329
412.53,2026-08-31T16:26:35,read,4,4998,66,329
413.10,2026-08-31T16:26:36,read,4,4998,67,334
413.68,2026-08-31T16:26:36,read,4,4998,67,334
414.26,2026-08-31T16:26:37,read,4,4997,66,329
414.84,2026-08-31T16:26:37,read,4,4997,67,334
415.42,2026-08-31T16:26:38,read,4,4997,66,329
415.99,2026-08-31T16:26:39,read,4,4996,66,329
416.57,2026-08-31T16:26:39,read,4,5000,67,335
417.15,2026-08-31T16:26:40,read,4,4999,66,329
417.74,2026-08-31T16:26:40,read,4,4998,66,329
418.31,2026-08-31T16:26:41,read,4,4997,67,334
418.95,2026-08-31T16:26:42,off,5,10,0,0
419.56,2026-08-31T16:26:42,off,5,0,0,0
420.14,2026-08-31T16:26:43,off,5,0,0,0
420.72,2026-08-31T16:26:43,off,5,0,0,0
421.31,2026-08-31T16:26:44,off,5,0,0,0
421.88,2026-08-31T16:26:45,off,5,0,0,0
422.45,2026-08-31T16:26:45,off,5,0,0,0
423.04,2026-08-31T16:26:46,off,5,0,0,0
423.61,2026-08-31T16:26:46,off,5,0,0,0
424.24,2026-08-31T16:26:47,on,5,4995,91,454
424.85,2026-08-31T16:26:48,on,5,4994,86,429
425.44,2026-08-31T16:26:48,on,5,4997,86,429
426.02,2026-08-31T16:26:49,on,5,4998,89,444
426.58,2026-08-31T16:26:49,on,5,4999,90,449
427.16,2026-08-31T16:26:50,idle,5,4999,90,449
427.73,2026-08-31T16:26:50,idle,5,4998,91,454
428.31,2026-08-31T16:26:51,read,5,4996,72,359
428.89,2026-08-31T16:26:52,read,5,4997,68,339
429.47,2026-08-31T16:26:52,read,5,4997,66,329
430.06,2026-08-31T16:26:53,read,5,4996,66,329
430.63,2026-08-31T16:26:53,read,5,4997,67,334
431.21,2026-08-31T16:26:54,read,5,4994,66,329
431.79,2026-08-31T16:26:54,read,5,4997,66,329
432.36,2026-08-31T16:26:55,read,5,4995,66,329
432.94,2026-08-31T16:26:56,read,5,4997,67,334
433.52,2026-08-31T16:26:56,read,5,4997,66,329
434.09,2026-08-31T16:26:57,read,5,4998,67,334
434.67,2026-08-31T16:26:57,read,5,4997,66,329
435.25,2026-08-31T16:26:58,read,5,4998,66,329
435.83,2026-08-31T16:26:58,read,5,4997,67,334
436.41,2026-08-31T16:26:59,read,5,4997,66,329
436.99,2026-08-31T16:27:00,read,5,4995,66,329
437.55,2026-08-31T16:27:00,read,5,4998,67,334
438.12,2026-08-31T16:27:01,read,5,4995,67,334
438.69,2026-08-31T16:27:01,read,5,4997,66,329
439.27,2026-08-31T16:27:02,read,5,4995,66,329
439.86,2026-08-31T16:27:03,read,5,4996,66,329
440.43,2026-08-31T16:27:03,read,5,4996,66,329
441.00,2026-08-31T16:27:04,read,5,4995,66,329
441.58,2026-08-31T16:27:04,read,5,4997,67,334
442.16,2026-08-31T16:27:05,read,5,4996,66,329
442.73,2026-08-31T16:27:05,read,5,4996,66,329
443.31,2026-08-31T16:27:06,read,5,4996,66,329
443.89,2026-08-31T16:27:07,read,5,4997,67,334
444.47,2026-08-31T16:27:07,read,5,4997,66,329
445.05,2026-08-31T16:27:08,read,5,4997,67,334
445.62,2026-08-31T16:27:08,read,5,4995,66,329
446.21,2026-08-31T16:27:09,read,5,4995,66,329
446.78,2026-08-31T16:27:09,read,5,4995,67,334
447.36,2026-08-31T16:27:10,read,5,4995,66,329
447.94,2026-08-31T16:27:11,read,5,4997,66,329
448.51,2026-08-31T16:27:11,read,5,4997,67,334
449.10,2026-08-31T16:27:12,read,5,4997,66,329
449.69,2026-08-31T16:27:12,read,5,4997,66,329
450.27,2026-08-31T16:27:13,read,5,4997,67,334
450.84,2026-08-31T16:27:14,read,5,4997,66,329
451.43,2026-08-31T16:27:14,read,5,4997,66,329
452.01,2026-08-31T16:27:15,read,5,4998,67,334
452.59,2026-08-31T16:27:15,read,5,4997,66,329
453.16,2026-08-31T16:27:16,read,5,4996,66,329
453.74,2026-08-31T16:27:16,read,5,4997,67,334
454.31,2026-08-31T16:27:17,read,5,4997,66,329
454.90,2026-08-31T16:27:18,read,5,4998,66,329
455.47,2026-08-31T16:27:18,read,5,4997,66,329
456.05,2026-08-31T16:27:19,read,5,4998,66,329
456.62,2026-08-31T16:27:19,read,5,4997,66,329
457.20,2026-08-31T16:27:20,read,5,4998,67,334
457.78,2026-08-31T16:27:20,read,5,4996,66,329
458.36,2026-08-31T16:27:21,read,5,4996,66,329
458.93,2026-08-31T16:27:22,read,5,4994,66,329
459.51,2026-08-31T16:27:22,read,5,4996,66,329
460.08,2026-08-31T16:27:23,read,5,4996,66,329
460.64,2026-08-31T16:27:23,read,5,4996,66,329
461.22,2026-08-31T16:27:24,read,5,4997,67,334
461.80,2026-08-31T16:27:24,read,5,4997,66,329
462.37,2026-08-31T16:27:25,read,5,4997,66,329
462.95,2026-08-31T16:27:26,read,5,4997,67,334
463.52,2026-08-31T16:27:26,read,5,4996,66,329
464.09,2026-08-31T16:27:27,read,5,4996,66,329
464.68,2026-08-31T16:27:27,read,5,4998,67,334
465.25,2026-08-31T16:27:28,read,5,4997,66,329
465.83,2026-08-31T16:27:28,read,5,4997,66,329
466.40,2026-08-31T16:27:29,read,5,4996,66,329
466.98,2026-08-31T16:27:30,read,5,4996,66,329
467.56,2026-08-31T16:27:30,read,5,4996,66,329
468.14,2026-08-31T16:27:31,read,5,4996,67,334
468.72,2026-08-31T16:27:31,read,5,4997,66,329
469.30,2026-08-31T16:27:32,read,5,4995,66,329
469.86,2026-08-31T16:27:33,read,5,4995,66,329
470.44,2026-08-31T16:27:33,read,5,4995,66,329
471.01,2026-08-31T16:27:34,read,5,4996,66,329
471.59,2026-08-31T16:27:34,read,5,4998,66,329
472.16,2026-08-31T16:27:35,read,5,4996,67,334
472.73,2026-08-31T16:27:35,read,5,4996,66,329
473.31,2026-08-31T16:27:36,read,5,4997,66,329
473.89,2026-08-31T16:27:37,read,5,4997,67,334
474.47,2026-08-31T16:27:37,read,5,4996,66,329
475.05,2026-08-31T16:27:38,read,5,4996,66,329
475.62,2026-08-31T16:27:38,read,5,4997,67,334
476.21,2026-08-31T16:27:39,read,5,4996,66,329
476.78,2026-08-31T16:27:39,read,5,4997,66,329
477.35,2026-08-31T16:27:40,read,5,4997,66,329
477.92,2026-08-31T16:27:41,read,5,4997,67,334
478.49,2026-08-31T16:27:41,read,5,4997,66,329
479.08,2026-08-31T16:27:42,read,5,4996,66,329
479.66,2026-08-31T16:27:42,read,5,4998,67,334
480.24,2026-08-31T16:27:43,read,5,4996,66,329
480.82,2026-08-31T16:27:43,read,5,4999,67,334
481.38,2026-08-31T16:27:44,read,5,4998,67,334
481.95,2026-08-31T16:27:45,read,5,4998,67,334
482.52,2026-08-31T16:27:45,read,5,4997,66,329
483.09,2026-08-31T16:27:46,read,5,4998,67,334
483.68,2026-08-31T16:27:46,read,5,4996,66,329
484.26,2026-08-31T16:27:47,read,5,4995,66,329
484.83,2026-08-31T16:27:47,read,5,4998,66,329
485.39,2026-08-31T16:27:48,read,5,4995,66,329
485.97,2026-08-31T16:27:49,read,5,4995,66,329
486.54,2026-08-31T16:27:49,read,5,4995,66,329
487.11,2026-08-31T16:27:50,read,5,4997,66,329
487.70,2026-08-31T16:27:50,read,5,4998,67,334
488.28,2026-08-31T16:27:51,read,5,4996,66,329
488.86,2026-08-31T16:27:52,read,5,4997,67,334
489.45,2026-08-31T16:27:52,read,5,4996,66,329
490.02,2026-08-31T16:27:53,read,5,4998,66,329
490.60,2026-08-31T16:27:53,read,5,4995,66,329
491.18,2026-08-31T16:27:54,read,5,4996,66,329
491.75,2026-08-31T16:27:54,read,5,4996,66,329
492.33,2026-08-31T16:27:55,read,5,4997,67,334
492.91,2026-08-31T16:27:56,read,5,4995,66,329
493.47,2026-08-31T16:27:56,read,5,4997,66,329
494.05,2026-08-31T16:27:57,read,5,4997,66,329
494.62,2026-08-31T16:27:57,read,5,4997,67,334
495.19,2026-08-31T16:27:58,read,5,4996,66,329
495.76,2026-08-31T16:27:58,read,5,4997,66,329
496.34,2026-08-31T16:27:59,read,5,4997,67,334
496.92,2026-08-31T16:28:00,read,5,4996,66,329
497.50,2026-08-31T16:28:00,read,5,4996,66,329
498.08,2026-08-31T16:28:01,read,5,4997,67,334
498.66,2026-08-31T16:28:01,read,5,4997,66,329
499.25,2026-08-31T16:28:02,read,5,4995,66,329
499.82,2026-08-31T16:28:02,read,5,4996,67,334
500.40,2026-08-31T16:28:03,read,5,4995,66,329
500.97,2026-08-31T16:28:04,read,5,4997,66,329
501.54,2026-08-31T16:28:04,read,5,4997,67,334
502.11,2026-08-31T16:28:05,read,5,4998,66,329
502.68,2026-08-31T16:28:05,read,5,4994,65,324
503.26,2026-08-31T16:28:06,read,5,4996,66,329
503.83,2026-08-31T16:28:06,read,5,4996,67,334
504.39,2026-08-31T16:28:07,read,5,4997,66,329
504.97,2026-08-31T16:28:08,read,5,4996,66,329
505.54,2026-08-31T16:28:08,read,5,4997,66,329
506.12,2026-08-31T16:28:09,read,5,4997,67,334
506.70,2026-08-31T16:28:09,read,5,4996,66,329
507.27,2026-08-31T16:28:10,read,5,4997,66,329
507.85,2026-08-31T16:28:11,read,5,4998,67,334
508.43,2026-08-31T16:28:11,read,5,4998,66,329
509.01,2026-08-31T16:28:12,read,5,4997,66,329
509.59,2026-08-31T16:28:12,read,5,4995,66,329
510.16,2026-08-31T16:28:13,read,5,4996,66,329
510.74,2026-08-31T16:28:13,read,5,4996,66,329
511.33,2026-08-31T16:28:14,read,5,4995,66,329
511.90,2026-08-31T16:28:15,read,5,4996,66,329
512.47,2026-08-31T16:28:15,read,5,4997,66,329
513.04,2026-08-31T16:28:16,read,5,4996,66,329
513.62,2026-08-31T16:28:16,read,5,4998,66,329
514.19,2026-08-31T16:28:17,read,5,4997,66,329
514.76,2026-08-31T16:28:17,read,5,4997,66,329
515.34,2026-08-31T16:28:18,read,5,4997,67,334
515.92,2026-08-31T16:28:19,read,5,4996,66,329
516.48,2026-08-31T16:28:19,read,5,4994,65,324
517.06,2026-08-31T16:28:20,read,5,4995,66,329
517.63,2026-08-31T16:28:20,read,5,4995,66,329
518.20,2026-08-31T16:28:21,read,5,4995,66,329
518.77,2026-08-31T16:28:21,read,5,4995,66,329
519.35,2026-08-31T16:28:22,read,5,4995,66,329
519.92,2026-08-31T16:28:23,read,5,4995,66,329
520.49,2026-08-31T16:28:23,read,5,4995,65,324
521.07,2026-08-31T16:28:24,read,5,4996,66,329
521.65,2026-08-31T16:28:24,read,5,4996,66,329
522.22,2026-08-31T16:28:25,read,5,4996,65,324
522.79,2026-08-31T16:28:25,read,5,4994,66,329
523.57,2026-08-31T16:28:26,off,6,0,0,0
524.17,2026-08-31T16:28:27,off,6,0,0,0
524.74,2026-08-31T16:28:27,off,6,0,0,0
525.32,2026-08-31T16:28:28,off,6,0,0,0
525.91,2026-08-31T16:28:29,off,6,0,0,0
526.50,2026-08-31T16:28:29,off,6,0,0,0
527.09,2026-08-31T16:28:30,off,6,0,0,0
527.66,2026-08-31T16:28:30,off,6,0,0,0
528.24,2026-08-31T16:28:31,off,6,0,0,0
528.86,2026-08-31T16:28:32,on,6,4998,92,459
529.49,2026-08-31T16:28:32,on,6,4996,86,429
530.07,2026-08-31T16:28:33,on,6,4994,85,424
530.64,2026-08-31T16:28:33,on,6,4995,89,444
531.22,2026-08-31T16:28:34,on,6,4995,89,444
531.79,2026-08-31T16:28:34,idle,6,4996,89,444
532.42,2026-08-31T16:28:35,read,6,4998,91,454
532.99,2026-08-31T16:28:36,read,6,4994,67,334
533.56,2026-08-31T16:28:36,read,6,4997,68,339
534.14,2026-08-31T16:28:37,read,6,4997,65,324
534.71,2026-08-31T16:28:37,read,6,4995,67,334
535.28,2026-08-31T16:28:38,read,6,4996,67,334
535.86,2026-08-31T16:28:39,read,6,4996,67,334
536.44,2026-08-31T16:28:39,read,6,4995,66,329
537.01,2026-08-31T16:28:40,read,6,4995,66,329
537.59,2026-08-31T16:28:40,read,6,4997,67,334
538.17,2026-08-31T16:28:41,read,6,4995,66,329
538.75,2026-08-31T16:28:41,read,6,4994,66,329
539.33,2026-08-31T16:28:42,read,6,4993,66,329
539.90,2026-08-31T16:28:43,read,6,4996,65,324
540.49,2026-08-31T16:28:43,read,6,4996,66,329
541.06,2026-08-31T16:28:44,read,6,4997,66,329
541.63,2026-08-31T16:28:44,read,6,4996,66,329
542.22,2026-08-31T16:28:45,read,6,4996,66,329
542.79,2026-08-31T16:28:45,read,6,4996,66,329
543.37,2026-08-31T16:28:46,read,6,4995,65,324
543.94,2026-08-31T16:28:47,read,6,4995,66,329
544.51,2026-08-31T16:28:47,read,6,4995,67,334
545.08,2026-08-31T16:28:48,read,6,4995,66,329
545.65,2026-08-31T16:28:48,read,6,4995,66,329
546.23,2026-08-31T16:28:49,read,6,4996,66,329
546.81,2026-08-31T16:28:49,read,6,4997,67,334
547.38,2026-08-31T16:28:50,read,6,4993,65,324
547.95,2026-08-31T16:28:51,read,6,4996,66,329
548.53,2026-08-31T16:28:51,read,6,4997,67,334
549.10,2026-08-31T16:28:52,read,6,4997,66,329
549.69,2026-08-31T16:28:52,read,6,4995,66,329
550.26,2026-08-31T16:28:53,read,6,4995,67,334
550.83,2026-08-31T16:28:53,read,6,4995,66,329
551.42,2026-08-31T16:28:54,read,6,4994,66,329
551.99,2026-08-31T16:28:55,read,6,4994,66,329
552.57,2026-08-31T16:28:55,read,6,4994,66,329
553.14,2026-08-31T16:28:56,read,6,4996,66,329
553.73,2026-08-31T16:28:56,read,6,4997,67,334
554.31,2026-08-31T16:28:57,read,6,4995,66,329
554.88,2026-08-31T16:28:58,read,6,4994,66,329
555.47,2026-08-31T16:28:58,read,6,4995,66,329
556.04,2026-08-31T16:28:59,read,6,4996,66,329
556.62,2026-08-31T16:28:59,read,6,4994,65,324
557.19,2026-08-31T16:29:00,read,6,4996,67,334
557.78,2026-08-31T16:29:00,read,6,4998,66,329
558.35,2026-08-31T16:29:01,read,6,4997,66,329
558.93,2026-08-31T16:29:02,read,6,4997,67,334
559.49,2026-08-31T16:29:02,read,6,4998,67,334
560.07,2026-08-31T16:29:03,read,6,4998,66,329
560.64,2026-08-31T16:29:03,read,6,4997,66,329
561.21,2026-08-31T16:29:04,read,6,4998,67,334
561.78,2026-08-31T16:29:04,read,6,4996,66,329
562.36,2026-08-31T16:29:05,read,6,4997,66,329
562.92,2026-08-31T16:29:06,read,6,4996,66,329
563.50,2026-08-31T16:29:06,read,6,4997,66,329
564.08,2026-08-31T16:29:07,read,6,4996,66,329
564.66,2026-08-31T16:29:07,read,6,4997,66,329
565.25,2026-08-31T16:29:08,read,6,4996,66,329
565.84,2026-08-31T16:29:08,read,6,4995,65,324
566.41,2026-08-31T16:29:09,read,6,4996,66,329
566.97,2026-08-31T16:29:10,read,6,4995,66,329
567.53,2026-08-31T16:29:10,read,6,4995,66,329
568.10,2026-08-31T16:29:11,read,6,4994,65,324
568.68,2026-08-31T16:29:11,read,6,4994,66,329
569.26,2026-08-31T16:29:12,read,6,4994,66,329
569.83,2026-08-31T16:29:12,read,6,4996,66,329
570.40,2026-08-31T16:29:13,read,6,4995,66,329
570.98,2026-08-31T16:29:14,read,6,4994,66,329
571.55,2026-08-31T16:29:14,read,6,4995,66,329
572.13,2026-08-31T16:29:15,read,6,4993,65,324
572.71,2026-08-31T16:29:15,read,6,4994,66,329
573.29,2026-08-31T16:29:16,read,6,4997,66,329
573.86,2026-08-31T16:29:17,read,6,4994,65,324
574.44,2026-08-31T16:29:17,read,6,4994,66,329
575.02,2026-08-31T16:29:18,read,6,4996,66,329
575.60,2026-08-31T16:29:18,read,6,4995,65,324
576.18,2026-08-31T16:29:19,read,6,4995,66,329
576.74,2026-08-31T16:29:19,read,6,4995,66,329
577.32,2026-08-31T16:29:20,read,6,4994,65,324
577.89,2026-08-31T16:29:21,read,6,4995,66,329
578.47,2026-08-31T16:29:21,read,6,4991,66,329
579.04,2026-08-31T16:29:22,read,6,4993,65,324
579.61,2026-08-31T16:29:22,read,6,4994,65,324
580.18,2026-08-31T16:29:23,read,6,4994,66,329
580.76,2026-08-31T16:29:23,read,6,4995,66,329
581.33,2026-08-31T16:29:24,read,6,4995,66,329
581.91,2026-08-31T16:29:25,read,6,4996,66,329
582.48,2026-08-31T16:29:25,read,6,4995,66,329
583.05,2026-08-31T16:29:26,read,6,4996,66,329
583.63,2026-08-31T16:29:26,read,6,4996,66,329
584.21,2026-08-31T16:29:27,read,6,4995,66,329
584.78,2026-08-31T16:29:27,read,6,4996,66,329
585.36,2026-08-31T16:29:28,read,6,4995,66,329
585.95,2026-08-31T16:29:29,read,6,4995,66,329
586.52,2026-08-31T16:29:29,read,6,4994,66,329
587.10,2026-08-31T16:29:30,read,6,4995,65,324
587.69,2026-08-31T16:29:30,read,6,4995,66,329
588.27,2026-08-31T16:29:31,read,6,4993,65,324
588.85,2026-08-31T16:29:32,read,6,4994,66,329
589.42,2026-08-31T16:29:32,read,6,4993,66,329
590.01,2026-08-31T16:29:33,read,6,4995,65,324
590.58,2026-08-31T16:29:33,read,6,4994,66,329
591.14,2026-08-31T16:29:34,read,6,4994,66,329
591.72,2026-08-31T16:29:34,read,6,4994,66,329
592.29,2026-08-31T16:29:35,read,6,4993,65,324
592.88,2026-08-31T16:29:36,read,6,4992,66,329
593.45,2026-08-31T16:29:36,read,6,4994,66,329
594.03,2026-08-31T16:29:37,read,6,4993,65,324
594.60,2026-08-31T16:29:37,read,6,4995,66,329
595.19,2026-08-31T16:29:38,read,6,4994,66,329
595.78,2026-08-31T16:29:38,read,6,4996,65,324
596.35,2026-08-31T16:29:39,read,6,4992,66,329
596.94,2026-08-31T16:29:40,read,6,4994,65,324
597.51,2026-08-31T16:29:40,read,6,4996,66,329
598.09,2026-08-31T16:29:41,read,6,4996,67,334
598.65,2026-08-31T16:29:41,read,6,4995,66,329
599.23,2026-08-31T16:29:42,read,6,4995,65,324
599.81,2026-08-31T16:29:42,read,6,4995,66,329
600.45,2026-08-31T16:29:43,read,6,4995,66,329
601.03,2026-08-31T16:29:44,read,6,4995,66,329
601.60,2026-08-31T16:29:44,read,6,4997,66,329
602.19,2026-08-31T16:29:45,read,6,4995,66,329
602.76,2026-08-31T16:29:45,read,6,4996,66,329
603.34,2026-08-31T16:29:46,read,6,4996,66,329
603.90,2026-08-31T16:29:47,read,6,4996,66,329
604.49,2026-08-31T16:29:47,read,6,4994,66,329
605.08,2026-08-31T16:29:48,read,6,4995,65,324
605.65,2026-08-31T16:29:48,read,6,4993,66,329
606.23,2026-08-31T16:29:49,read,6,4992,66,329
606.79,2026-08-31T16:29:49,read,6,4995,66,329
607.38,2026-08-31T16:29:50,read,6,4994,66,329
607.94,2026-08-31T16:29:51,read,6,4994,66,329
608.52,2026-08-31T16:29:51,read,6,4996,66,329
609.10,2026-08-31T16:29:52,read,6,4995,65,324
609.68,2026-08-31T16:29:52,read,6,4996,66,329
610.26,2026-08-31T16:29:53,read,6,4995,66,329
610.83,2026-08-31T16:29:53,read,6,4995,65,324
611.41,2026-08-31T16:29:54,read,6,4995,66,329
611.98,2026-08-31T16:29:55,read,6,4995,66,329
612.55,2026-08-31T16:29:55,read,6,4995,65,324
613.13,2026-08-31T16:29:56,read,6,4995,66,329
613.72,2026-08-31T16:29:56,read,6,4994,66,329
614.30,2026-08-31T16:29:57,read,6,4993,65,324
614.88,2026-08-31T16:29:58,read,6,4993,66,329
615.45,2026-08-31T16:29:58,read,6,4994,66,329
616.03,2026-08-31T16:29:59,read,6,4994,66,329
616.61,2026-08-31T16:29:59,read,6,4996,66,329
617.19,2026-08-31T16:30:00,read,6,4996,66,329
617.76,2026-08-31T16:30:00,read,6,4994,65,324
